phase,run_index,route,device,rep,performance_score,fcp_ms,lcp_ms,cls,tbt_ms,speed_index_ms,ttfb_ms,benchmark_index,requests,transfer_bytes,image_bytes,script_bytes,document_bytes
before,18,services,desktop,3,89.0,603.5480000000001,2094.192,0.036498505036287716,0.0,1079.269044101104,45.0,1778.0,67,1794845,36332,300566,12481
before,19,contacts,mobile,1,56.00000000000001,2680.5830000000005,11568.702999999998,0.01850845827357249,536.0,3585.714799870936,58.0,1781.5,82,2195987,58744,736248,12859
before,20,contacts,mobile,2,66.0,2678.7989999999995,9737.543000000001,0.01895673759566184,225.5,3470.094744636131,57.0,1771.5,82,2196045,58744,736285,12853
before,21,contacts,mobile,3,69.0,2681.521,9826.947000000004,0.01895673759566184,140.5,3463.685005493482,51.0,1767.0,82,2196011,58744,736500,12845
before,22,contacts,desktop,1,87.0,665.5940000000003,2130.8180000000016,0.003738071255062179,5.5,1698.725298539729,53.0,1786.5,139,2474616,177647,746648,12856
before,23,contacts,desktop,2,86.0,673.9120000000004,2064.100000000001,0.0037327671035160153,0.0,1898.9335248251493,53.0,1775.5,139,2474922,177647,746927,12854
before,24,contacts,desktop,3,87.0,672.8280000000004,2057.536000000001,0.003738071255062179,0.0,1746.1544579490244,54.0,1773.0,139,2474998,177645,747212,12856
before,25,representative_product,mobile,1,65.0,2713.8460000000005,9484.615000000002,0.004425621787450899,16.49999999999818,6381.380590142349,71.0,1785.0,82,8828863,6768846,303773,18976
before,26,representative_product,mobile,2,64.0,2707.9679999999994,7669.92,0.004444712974845068,40.0,7846.559943045662,73.0,1764.5,82,8828873,6768846,303811,18945
before,27,representative_product,mobile,3,66.0,2713.8779999999992,10984.695,0.004409761765255923,31.0,5901.540234618353,75.0,1781.5,82,8828846,6768846,303794,18946
before,28,representative_product,desktop,1,78.0,1015.363,3210.7260000000006,0.009648961091248897,0.0,1809.6175927502231,70.0,1779.0,83,8828918,6768846,304397,18968
before,29,representative_product,desktop,2,76.0,650.477,3954.214682464598,0.008154084229520653,13.761499999999842,1798.3270210906614,69.0,1778.5,83,8828804,6768846,303793,18943
before,30,representative_product,desktop,3,88.0,648.3220000000001,1940.8050000000003,0.005591536159528059,0.0,1777.4908413932521,70.0,1776.0,83,8828819,6768846,303780,18951
before,31,image_heavy_product,mobile,1,60.0,2720.372,27736.11600000001,0.006255815055914159,130.0,12667.196848515672,70.0,1783.5,106,23184444,21123229,303731,20198
before,32,image_heavy_product,mobile,2,57.99999999999999,2707.8279999999995,10369.57,0.007010930042608683,208.0,12033.16434307548,69.0,1765.5,106,23184463,21123229,303797,20194
before,33,image_heavy_product,mobile,3,60.0,2721.692,10404.23,0.006239955033719183,128.5,12760.81839791675,72.0,1780.0,106,23184507,21123229,303809,20189
before,34,image_heavy_product,desktop,1,74.0,661.528,3453.8199999999997,0.008133339779972621,0.0,2825.15490090143,69.0,1740.0,106,23184449,21123229,303782,20195
before,35,image_heavy_product,desktop,2,84.0,656.5799999999999,1921.4499999999998,0.008388581927383981,28.0,2832.3325982306137,72.0,1778.5,106,23184587,21123229,303792,20186
before,36,image_heavy_product,desktop,3,70.0,654.9140000000001,4444.741999999999,0.0162556707295417,0.0,3176.40635537411,78.0,1748.0,106,23184467,21123229,303777,20196
after,1,home,mobile,1,68.0,2876.4679999999994,21679.404,0.06283115691852263,22.0,3835.9796198418044,177.0,1779.0,90,16565185,14829329,305531,26415
after,2,home,mobile,2,64.0,2870.626,35922.19099999999,0.06283115691852263,17.0,6093.990852104196,107.0,1776.5,90,16565224,14829329,305306,26415
after,3,home,mobile,3,68.0,2861.09,50213.814999999995,0.06283115691852263,40.0,3768.5668648450746,101.0,1776.0,90,16565257,14829329,305931,26414
after,4,home,desktop,1,67.0,657.3659999999999,11426.830000000005,0.02330253272340963,0.0,3088.755982841903,91.0,1778.5,116,31356413,29271020,305696,26415
after,5,home,desktop,2,59.0,659.1839999999996,10904.758182464604,0.015580738337178927,240.40800000000002,2886.959968891144,115.0,1785.0,116,31356381,29271020,305307,26409
after,6,home,desktop,3,69.0,726.961,5702.248499999997,0.022095812877937965,0.0,2955.9731541999404,108.0,1657.0,116,31356654,29271020,305601,26416
after,7,catalog,mobile,1,69.0,2706.2870000000007,9778.291500000001,0.029044481932580215,42.0,3908.955905410895,75.0,1715.5,77,9191275,7188769,300576,16702
after,8,catalog,mobile,2,61.0,2704.6000000000004,26495.699999999997,0.0286534094866376,370.0,3729.180145952777,74.0,1692.5,77,9191292,7188769,300750,16708
after,9,catalog,mobile,3,66.0,2702.7889999999993,10581.9725,0.029044481932580215,53.0,5701.467044849554,77.0,1758.0,77,9191343,7188769,300927,16707
after,10,catalog,desktop,1,78.0,644.3360000000001,3293.007999999999,0.003061484113361764,0.0,1846.9098719248082,79.0,1727.0,79,9243263,7188769,300545,16708
after,11,catalog,desktop,2,74.0,642.9399999999999,4717.601999999999,0.0029208290019975634,0.0,1848.00123054785,77.0,1780.0,79,9243276,7188769,300547,16707
after,12,catalog,desktop,3,77.0,643.1969999999999,4332.7880000000005,0.003150123165132755,0.0,1338.954824807125,86.0,1770.5,79,9243270,7188769,300570,16704
after,13,services,mobile,1,71.0,2551.428,11107.14,7.87869476517607e-05,14.0,2766.642504465419,51.0,1758.5,65,1743017,36332,300548,12619
after,14,services,mobile,2,71.0,2552.434,11112.170000000002,7.87869476517607e-05,37.0,3009.3693848973307,47.0,1728.5,65,1743073,36332,300603,12620
after,15,services,mobile,3,71.0,2552.785,11113.925,7.87869476517607e-05,22.0,2778.279646598038,47.0,1759.5,65,1743071,36332,300918,12622
after,16,services,desktop,1,89.0,603.6200000000001,2094.4800000000005,0.036505232223765234,0.0,1118.2494395680471,49.0,1725.0,67,1794997,36332,300932,12622
after,17,services,desktop,2,89.0,601.498,2085.9920000000006,0.04589498374238155,0.0,1328.8564709047032,48.0,1792.5,67,1794975,36332,300550,12616
after,18,services,desktop,3,92.0,602.8199999999999,1851.2799999999997,0.036498505036287716,0.0,952.4027637485872,54.0,1777.0,67,1795015,36332,300573,12611
after,19,contacts,mobile,1,67.0,2679.482,11722.137999999999,0.01850845827357249,192.0,3669.9731843898676,47.0,1775.5,82,2196213,58744,736084,13008
after,20,contacts,mobile,2,66.0,2680.1919999999996,11725.4,0.018970245465315526,221.0,3563.5158960448,46.0,1780.5,82,2196215,58744,736676,13007
after,21,contacts,mobile,3,69.0,2684.4039999999995,11586.539999999999,0.018970245465315526,121.5,3494.6191899496635,55.0,1769.0,82,2196189,58744,736285,13000
after,22,contacts,desktop,1,87.0,664.7279999999998,2127.7379999999994,0.003977934586309308,0.0,1741.4892833872473,49.0,1763.5,140,2474969,177647,746441,13005
after,23,contacts,desktop,2,87.0,664.5200000000002,2126.9240000000004,0.0037313440675846563,0.0,1650.6214497332294,48.0,1766.5,139,2474816,177647,746574,13006
after,24,contacts,desktop,3,87.0,671.49,2060.6541824646,0.003738071255062179,0.0,1734.7274615312854,50.0,1783.5,139,2474887,177645,746587,13003
after,25,representative_product,mobile,1,65.0,2712.0640000000003,10530.16,0.004380949142438946,28.0,6100.749029213464,75.0,1771.0,82,8829087,6768846,303499,19161
after,26,representative_product,mobile,2,33.0,2717.5560000000005,11602.668000000001,0.004394591783955014,5452.222000000002,8257.86350927464,74.0,1769.0,82,8829092,6768846,304030,19160
after,27,representative_product,mobile,3,66.0,2716.18,9490.449999999999,0.004349919138943062,24.5,5474.483687677755,70.0,1768.0,82,8829007,6768846,303835,19164
after,28,representative_product,desktop,1,55.00000000000001,652.346,1958.8871824645994,0.01642866289985952,2039.8269999999993,2442.5586299445854,91.0,1766.0,83,8829015,6768846,303768,19154
after,29,representative_product,desktop,2,70.0,862.5735,6604.235000000001,0.009549318525313355,0.0,2328.3150021555794,87.0,1779.5,83,8829044,6768846,303793,19158
after,30,representative_product,desktop,3,86.0,656.4210000000002,2041.0525000000002,0.008414124944823036,0.0,1955.314757805483,71.0,1777.0,83,8829056,6768846,303999,19161
after,31,image_heavy_product,mobile,1,61.0,2717.348,13243.369999999999,0.00575550007699432,106.5,10073.093525158543,73.0,1768.5,106,23184791,21123229,303795,20512
after,32,image_heavy_product,mobile,2,36.0,2718.714,10396.785,0.006239955033719183,1478.643,11116.556248145469,78.0,1779.5,106,23184744,21123229,303769,20499
after,33,image_heavy_product,mobile,3,60.0,2713.6560000000004,10384.140000000001,0.006260101775392398,141.5,12770.984681693153,73.0,1776.0,106,23184918,21123229,304124,20498
after,34,image_heavy_product,desktop,1,50.0,656.134,2400.335,0.008133339779972621,1575.433,2939.957279693839,74.0,1762.0,106,23184758,21123229,303768,20489
after,35,image_heavy_product,desktop,2,50.0,654.038,2403.1171824646,0.008118459384530992,1390.9809999999998,2995.479161281149,74.0,1768.0,106,23184842,21123229,304000,20486
after,36,image_heavy_product,desktop,3,39.0,655.552,5774.431999999999,0.008126612592495098,2068.2240000000006,2972.3294974403852,74.0,1769.5,106,23184788,21123229,303775,20490
